Tensile Strength (MPa),Fiber Content,Fiber Type
250.6,40,CF_BF
256.9,40,CF_BF
253.2,40,CF_BF
248.1,40,CF_BF
242.1,40,CF_BF
253.2,40,CF_BF
254.9,40,CF_BF
252.5,40,CF_BF
261.4,40,CF_BF
253.9,40,CF_BF
280.7,40,CF_BF
277,40,CF_BF
281.3,40,CF_BF
276.7,40,CF_BF
288.3,40,CF_BF
280.1,40,CF_BF
271.6,40,CF_BF
273.8,40,CF_BF
277,40,CF_BF
280.4,40,PCF
91.6,40,PCF
90.3,40,PCF
91.6,40,PCF
91.8,40,PCF
93.1,40,PCF
89.4,40,PCF
89.5,40,PCF
93.2,40,PCF
90.7,40,PCF
91.7,40,PCF
282.9,40,CF
271,40,CF
280.7,40,CF
290.1,40,CF
286.4,40,CF
289.4,40,CF
276.2,40,CF
273.9,40,CF
287.2,40,CF
269.2,40,CF
89,40,GF
85.8,40,GF
89.2,40,GF
93,40,GF
89.2,40,GF
93.6,40,GF
93.9,40,GF
89.6,40,GF
91.8,40,GF
89.5,40,GF
204.1,50,LGF
185.2,50,LGF
201.8,50,LGF
193,50,LGF
194.5,50,LGF
190.6,50,LGF
196.2,50,LGF
199,50,LGF
190.9,50,LGF
203.6,50,LGF
76.9,1,GO
69.5,1,GO
77,1,GO
78.8,1,GO
77.3,1,GO
77.1,1,GO
79,1,GO
77,1,GO
75.8,1,GO
76.9,1,GO
78.9,3,GO
77.6,3,GO
74.6,3,GO
76.5,3,GO
73.6,3,GO
78.1,3,GO
77.2,3,GO
78.7,3,GO
76.9,3,GO
75.2,3,GO
76.6,5,GO
76.4,5,GO
74.4,5,GO
67.7,5,GO
72.8,5,GO
73.7,5,GO
76.6,5,GO
75.8,5,GO
76.1,5,GO
76,5,GO
